time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-01T05:25:23.220Z,36.4324,-98.7818,3.4,3,mb_lg,,58,0.184,0.28,us,us100085wh,2017-03-01T17:32:43.396Z,"32km NW of Fairview, Oklahoma",earthquake,1.3,6.9,0.063,66,reviewed,us,us
2017-02-28T15:42:55.400Z,36.7116,-97.6242,8.236,2.7,ml,,56,,0.45,us,us20008myb,2017-03-19T20:15:43.430Z,"14km SE of Medford, Oklahoma",earthquake,1.5,1.4,,,reviewed,tul,tul
2017-02-28T15:37:23.900Z,35.7959,-97.1953,6.617,2.8,ml,,35,,0.45,us,us20008mya,2017-03-19T20:13:41.807Z,"14km N of Luther, Oklahoma",earthquake,1.2,6.6,,,reviewed,tul,tul
2017-02-28T07:32:33.700Z,36.8189,-97.5544,7.978,2.8,ml,,65,,0.45,us,us20008mw1,2017-03-13T08:00:07.040Z,"16km E of Medford, Oklahoma",earthquake,1.3,7,,,reviewed,tul,tul
2017-02-27T23:51:42.200Z,36.219,-97.5634,6.096,2.6,ml,,23,,0.6,us,us20008mti,2017-03-07T05:45:39.040Z,"25km WSW of Perry, Oklahoma",earthquake,0.8,6.7,,,reviewed,tul,tul
2017-02-27T08:36:40.470Z,37.289,-98.155,5,2.8,mb_lg,,66,0.125,0.44,us,us20008mmx,2017-04-04T12:26:30.040Z,"11km W of Harper, Kansas",earthquake,1,2,0.07,53,reviewed,us,us
2017-02-26T16:04:49.200Z,35.7969,-97.1928,5.51,2.5,ml,,36,,0.52,us,us20008mj2,2017-03-14T19:58:17.040Z,"14km N of Luther, Oklahoma",earthquake,1.2,5.4,,,reviewed,tul,tul
2017-02-26T15:11:36.600Z,36.5041,-99.0357,6.237,2.7,ml,,66,,0.58,us,us20008miu,2017-03-19T19:54:05.115Z,"16km ENE of Mooreland, Oklahoma",earthquake,2.5,5.9,,,reviewed,tul,tul
2017-02-26T06:52:23.940Z,37.2751,-98.163,5,2.6,mb_lg,,115,0.133,0.5,us,us20008mhc,2017-03-31T06:05:02.040Z,"12km W of Harper, Kansas",earthquake,1.2,2,0.085,36,reviewed,us,us
2017-02-25T17:31:02.000Z,36.2145,-97.5568,7.252,3.4,ml,,23,,0.23,us,us20008mex,2017-03-10T18:07:52.040Z,"25km WSW of Perry, Oklahoma",earthquake,1,4,,,reviewed,tul,tul
